generator;generator version;creation date;scope;model;scenario;source database;link;Zenodo record ID
premise;(2, 1, 2);2024-09-06;Global;remind;SSP1-Base;ei 3.9.1 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712202
premise;(2, 1, 2);2024-09-06;Global;remind;SSP2-PkBudg500;ei 3.10 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712206
premise;(2, 1, 2);2024-09-06;Global;image;SSP2-RCP26;ei 3.9.1 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712208
premise;(2, 1, 2);2024-09-06;Global;remind;SSP1-Base;ei 3.10 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712212
premise;(2, 1, 2);2024-09-06;Global;remind;SSP1-NPi;ei 3.10 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712214
premise;(2, 1, 2);2024-09-06;Global;image;SSP2-RCP19;ei 3.9.1 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712216
premise;(2, 1, 2);2024-09-06;Global;remind;SSP2-PkBudg1150;ei 3.9.1 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712218
premise;(2, 1, 2);2024-09-06;Global;remind;SSP5-PkBudg500;ei 3.10 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712220
premise;(2, 1, 2);2024-09-06;Global;remind;SSP2-NPi;ei 3.9.1 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712224
premise;(2, 1, 2);2024-09-06;Global;image;SSP2-Base;ei 3.10 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712226
premise;(2, 1, 2);2024-09-06;Global;remind;SSP1-PkBudg500;ei 3.10 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712228
premise;(2, 1, 2);2024-09-06;Global;remind;SSP5-PkBudg1150;ei 3.9.1 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712233
premise;(2, 1, 2);2024-09-06;Global;remind;SSP5-NDC;ei 3.10 cutoff;https://premisedash-6f5a0259c487.herokuapp.com/;13712235
premise;(2, 1, 3);2024-09-27;Global;image;SSP1-Base;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850644
premise;(2, 1, 3);2024-09-27;Global;image;SSP2-RCP19;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850658
premise;(2, 1, 3);2024-09-27;Global;image;SSP2-RCP26;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850665
premise;(2, 1, 3);2024-09-27;Global;remind;SSP2-NDC;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850675
premise;(2, 1, 3);2024-09-27;Global;remind;SSP1-PkBudg500;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850679
premise;(2, 1, 3);2024-09-27;Global;remind;SSP5-NPi;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850681
premise;(2, 1, 3);2024-09-27;Global;remind;SSP5-PkBudg500;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850689
premise;(2, 1, 3);2024-09-27;Global;remind;SSP2-PkBudg500;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850693
premise;(2, 1, 3);2024-09-27;Global;remind;SSP1-Base;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850704
premise;(2, 1, 3);2024-09-27;Global;remind;SSP1-NDC;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850712
premise;(2, 1, 3);2024-09-27;Global;remind;SSP1-NPi;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850714
premise;(2, 1, 3);2024-09-27;Global;remind;SSP1-PkBudg1150;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850723
premise;(2, 1, 3);2024-09-27;Global;image;SSP2-Base;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850726
premise;(2, 1, 3);2024-09-27;Global;remind;SSP5-NDC;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850732
premise;(2, 1, 3);2024-09-27;Global;remind;SSP5-Base;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850734
premise;(2, 1, 3);2024-09-27;Global;remind;SSP2-NPi;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850746
premise;(2, 1, 3);2024-09-27;Global;remind;SSP2-Base;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850754
premise;(2, 1, 3);2024-09-27;Global;remind;SSP2-PkBudg1150;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850758
premise;(2, 1, 3);2024-09-27;Global;remind;SSP5-PkBudg1150;ei 3.9.1 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13850764
premise;(2, 1, 3);2024-10-01;Global;image;SSP2-Base;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867528
premise;(2, 1, 3);2024-10-01;Global;remind;SSP5-NDC;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867530
premise;(2, 1, 3);2024-10-01;Global;image;SSP2-RCP19;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867536
premise;(2, 1, 3);2024-10-01;Global;remind;SSP5-PkBudg1150;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867540
premise;(2, 1, 3);2024-10-01;Global;image;SSP2-RCP26;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867542
premise;(2, 1, 3);2024-10-01;Global;remind;SSP1-NPi;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867546
premise;(2, 1, 3);2024-10-01;Global;remind;SSP2-PkBudg1150;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867550
premise;(2, 1, 3);2024-10-01;Global;remind;SSP1-Base;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867552
premise;(2, 1, 3);2024-10-01;Global;remind;SSP2-NPi;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867556
premise;(2, 1, 3);2024-10-01;Global;remind;SSP1-PkBudg1150;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867560
premise;(2, 1, 3);2024-10-01;Global;remind;SSP2-PkBudg500;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867564
premise;(2, 1, 3);2024-10-01;Global;remind;SSP2-NDC;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867566
premise;(2, 1, 3);2024-10-01;Global;remind;SSP5-Base;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867572
premise;(2, 1, 3);2024-10-01;Global;image;SSP1-Base;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867574
premise;(2, 1, 3);2024-10-01;Global;remind;SSP1-PkBudg500;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867576
premise;(2, 1, 3);2024-10-01;Global;remind;SSP5-PkBudg500;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867581
premise;(2, 1, 3);2024-10-01;Global;remind;SSP1-NDC;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867585
premise;(2, 1, 3);2024-10-01;Global;remind;SSP2-Base;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867589
premise;(2, 1, 3);2024-10-01;Global;remind;SSP5-NPi;ei 3.10 consequential;https://premisedash-6f5a0259c487.herokuapp.com/;13867595
